Asset id,Title,Filename,Description,Business Unit,generate_with_ai,Alt Text,Asset Type,Asset Sub-Type,Asset Product-Type,Channel,Product Type,PDP Asset Type,Product Category,Product Sub-Category,Product Sub-Sub Category,Locale,SKU,Department,Year,File Type,Tags,Watermark,Watermark Date,Public,Archive,Archive Date,Downloadable,Limited,Limited Date,Created By,Creation Date,Published Date,Modified By,Modified Date,Copyright,File Size
026556A6-A883-45AD-AF8C42AF498F7494,16Z90S-H.ADB9U1_5_r2,16Z90S-H.ADB9U1_5_r2.jpg,,DXP,Yes,LG 16Z90S-H.ADB9U1 laptops showcasing Intel Core Ultra processor performance features Front View,Photos,Product ,Gallery,LG.com,Computing,Product,,,,en_US,,,,jpg,,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Grace Rhee,1/20/2026 18:30,1/20/2026 18:30,Brindha Devadoss,1/21/2026 21:21,,743642
04B64AF6-2A5E-4A5E-96A8BCAD0DDF3968,LG Stick Vacuum 5-Step Filtration_900x600,LG Stick Vacuum 5-Step Filtration_900x600.jpg,,DXP,Yes,LG Stick Vacuum 5-Step Filtration system with turbo cyclone and filters Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066A2A71-ED0F-470D-A9FBA39C8ECC2F51,ReliabilityMatters_USPCard,ReliabilityMatters_USPCard.jpg,.,DXP,Yes,Reliability Matters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0862C4A4-A589-44C9-9446CDB47F713B3D,16Z90S-H.ADB9U1_5,16Z90S-H.ADB9U1_5.jpg,..,DXP,Yes,SKIP,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B77E29A-3D0F-46D1-A3993DEA862482D5,car wash,car wash.jpg,v4,DXP,Yes,A Rutter Family Car Wash coupon for Silver Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BE7CD63-32DC-413A-87A86C0B24A08DB8,LRYKC2606S_2023_Counter_Depth_MAX_26_cu_ft_MAX_capacity,LRYKC2606S_2023_Counter_Depth_MAX_26_cu_ft_MAX_capacity.jpg,,DXP,Yes,LG LRYKC2606S 26 cu ft Counter Depth MAX capacity Refrigerator Lifestyle Kitchen Setting with family putting groceries away Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BFCDF42-0FE0-4557-8E6242F6406E1B46,OLED T test,oled T .jpg,test tv image ,DXP,Yes,LG SIGNATURE OLED T World's No. 1 OLED TV for 12 years World's first transparent & true wireless with 4K wireless video & audio transfer Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0D8E8410-F4ED-4277-A83B30A9AEFD1209,Dishwasher,Dishwasher.png,,DXP,Yes,LG Dishwasher Interior with Adjustable 3rd Rack and utensil tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E451A1A-36ED-406A-A60BC974FBEA7932,C7325LC_2025_Lifestyle_Image_Vacuum_Kompressor_900x600,C7325LC_2025_Lifestyle_Image_Vacuum_Kompressor_900x600.jpg,,DXP,Yes,LG Kompressor Vacuum with hand demonstrating dustbin release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0FD98014-FC3A-4D4E-83FAB9910180F13B,LG Styler EZ Fit PantsPress Infographic_5000x5000,LG Styler EZ Fit PantsPress Infographic_5000x5000.jpg,.,DXP,Yes,LG Styler EZ Fit PantsPress infographic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172E0587-8299-425C-9D5E5E1A3CC6FF7D,LRYXS3106S Ref Dimensional Image_1600x1062,LRYXS3106S Ref Dimensional Image_1600x1062.jpg,.,DXP,Yes,LG Refrigerator dimensions: 70 1/4 H x 35 3/4 W x 34 1/4 D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186F1BAD-7B15-4686-A6300A5E01BF3656,2025_Mini_Craft_Ice_MyColor_Mirror_SO_MUCH _MORE_Mirror_Instaview_with_Talent,2025_Mini_Craft_Ice_MyColor_Mirror_SO_MUCH _MORE_Mirror_Instaview_with_Talent.jpg,.,DXP,Yes,LG 2025 Mini Craft Ice MyColor Mirror French Door Refrigerator lifestyle kitchen setting with woman preparing food Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1BCD6727-976A-4DEE-BF309988E21750CA,Comparison Chart xboom Buds,Comparison Chart xboom Buds.png,.,DXP,Yes,LG xboom Buds comparison chart with JBL and SONY earbuds Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24E668FC-344A-4B3B-B5A48A0B58090528,Refrigerator_door-in-door-infographic_gallery_06_5000x5000,Refrigerator_door-in-door-infographic_gallery_06_5000x5000.jpg,,DXP,Yes,LG Refrigerator Door-in-Door feature with beverages and snacks storage Door 1 and Door 2 open Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281526F4-7372-46EC-8CBEEA42690609D4,SC5MAR4G LG Styler Built-In Intelligence_900x600,SC5MAR4G LG Styler Built-In Intelligence_900x600.jpg,,DXP,Yes,LG Styler SC5MAR4G with Built-In Intelligence door open with clothes inside Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2BE3B83B-79A9-48B2-976C229B3AA7D58B,C7325LC Auto Stop_Start Animation_900x600,C7325LC Auto Stop_Start Animation_900x600.gif,,DXP,Yes,LG Cordless Vacuum Automatically Turns Off When You Put It Down Lifestyle Setup Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D537900-1F0B-49E3-BC547DEDA11CD444,C7325LC_2025_Product_Image_Vacuum_LED Crevice Tool 3,C7325LC_2025_Product_Image_Vacuum_LED Crevice Tool 3.jpg,,DXP,Yes,LG C7325LC Vacuum LED Crevice Tool with silver and black finish and clear nozzle Close-Up,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310B1064-E0DE-404F-8B72D3B8193B89CB,M5 Hero Image - Gallery,M5 Hero Image - Gallery.jpg,.,DXP,Yes,LG Sound Suite M5 speaker with Dolby Atmos logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310C68A1-0642-42C3-8AA793562CE69344,2 support,2 support.png,.,DXP,Yes,55-inch LG 4K OLED TV displaying colorful abstract art on screen Front View,Photos,Product ,Gallery,LG.com,,Product,,,,en_US,,,,png,,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Jeff Huang,1/22/2026 18:24,1/22/2026 18:24,Brindha Devadoss,1/22/2026 20:37,,391571
3403F8CD-4ADB-4D04-B93E886D2178DA51,Front Load Washer Lineup_LCD Display_1600x1062,Front Load Washer Lineup_LCD Display_1600x1062.jpg,.,DXP,Yes,LG Front Load Washer Lineup with LCD Display WM5800 WM6500 WM6700 Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38769C8B-FCBF-4FD6-9A817BA708D19D80,SC5GMR80H LG Styler Dimensional Image_5000x5000,SC5GMR80H LG Styler Dimensional Image_5000x5000.jpg,.,DXP,Yes,"LG Styler SC5GMR80H dimensions: 77 3/8"" H x 23 5/8"" W x 24 3/8"" D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3950A510-6F83-4738-9B92A8C960B012C9,Laptops-17Z90TR-E-ADB9U1-gallery-4_5000x5000,Laptops-17Z90TR-E-ADB9U1-gallery-4_5000x5000.jpg,-,DXP,Yes,LG 17Z90TR-E  laptop 3.26 lbs. 0.6 in. thin MIL-STD 810H tested Front View,Photos,Product ,Gallery,LG.com,Computing,Product,Laptops,,,en_US,,CMS,,jpg,LG gram Pro 17 Inch,,,,,,,,,,,,,,,
41AB7076-3C8A-4F3E-A123D641675C138C,OLEDG5_2025_USP_Card_Brightness_Booster_Max,OLEDG5_2025_USP_Card_Brightness_Booster_Max.jpg,.,DXP,Yes,LG OLED G5 2025 USP Card Brightness Booster Max Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4593116C-79B8-4892-946EA4E5E4C5AB92,15Z80T-H.AUB4U1_2,15Z80T-H.AUB4U1_2.jpg,,DXP,Yes,Unable to Generate,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48666C3A-43DD-4463-A0617728AF83BFF4,output.auto,output.auto.jpg,.,DXP,Yes,LG ranked #1 in Customer Satisfaction by J.D. Power French Door Refrigerators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A233082-86A9-453F-8F0C434576BFB319,LG Laundry WM5800HAA Pet Care Cycle Infographic_1600x1062,LG Laundry WM5800HAA Pet Care Cycle Infographic_1600x1062.jpg,.,DXP,Yes,LG WM5800HAA Washer Pet Care Cycle Infographic with dog and owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4DC69DC0-66D5-4FFE-A432D7F57A5C6BA9,Landing Page,Landing Page.png,.,DXP,Yes,LG HVAC Documentation page with search bar and category links Front View,Photos,Product ,Gallery,LG.com,,Product,,,,en_US,,,,png,,FALSE,,FALSE,FALSE,,TRUE,FALSE,,Brindha Devadoss,1/22/2026 16:14,1/22/2026 16:14,Brindha Devadoss,1/27/2026 20:33,,121623
51CAD093-25FC-4BB7-978F52D2CCD5E320,Monitor-32GX870A-B-digital-trends-gallery-1_5000x5000,Monitor-32GX870A-B-digital-trends-gallery-1_5000x5000.jpg,.,DXP,Yes,32-inch LG UltraGear OLED Monitor with digital trends Readers' Choice 2025 award Front View,Photos,Product ,Gallery,LG.com,Computing,Product,Monitors,UltraGear™,,en_US,[32GX870A-B] MD19000971,CMS,2024,jpg,LG Monitors,,,,,,,,,,,,,,,
53FC74E4-A230-4F42-9C1E962601853488,TV-OLED77G5WUA-Experience-The-Lg-Difference-gallery-14_3000x3000,TV-OLED77G5WUA-Experience-The-Lg-Difference-gallery-14_3000x3000.jpg,,DXP,Yes,World's #1 OLED TV brand for 12 consecutive years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A60D4D1-2D1A-4547-A50118CC3F1B0D5B,C7325LC_2025_Lifestyle_Image_Vacuum_Wall-Mount Charging Dock (1),C7325LC_2025_Lifestyle_Image_Vacuum_Wall-Mount Charging Dock (1).jpg,.,DXP,Yes,LG C7325LC Vacuum Wall-Mount Charging Dock Lifestyle Setup Front View,Photos,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5AFA088B-D8A3-4FE6-8B10D3E1479DC72C,SC5GMR80H_2025_Product_Image_LG Styler_Front Open Styled_Home Decor,SC5GMR80H_2025_Product_Image_LG Styler_Front Open Styled_Home Decor.jpg,.,DXP,Yes,LG Styler SC5GMR80H interior with clothes and accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
